BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	genotype_s	source_name_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	cell_isolation_s	condition_s
SAMN03068652	SRX700927	3279	2226	SRR1575142	SRS701043	GSM1504364	Wild type	Splenic B cells, Wild type	RNA-Seq	76	PRJNA261051	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-15	Mus musculus	ILLUMINA	2014-10-03	SRP047132	Splenic B cells	Ex-vivo
SAMN03068653	SRX700928	2970	2012	SRR1575143	SRS701044	GSM1504365	Wild type	Splenic B cells, Wild type	RNA-Seq	76	PRJNA261051	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-15	Mus musculus	ILLUMINA	2014-10-03	SRP047132	Splenic B cells	Ex-vivo
SAMN03068654	SRX700929	2588	1762	SRR1575144	SRS701045	GSM1504366	Wild type	Splenic B cells, Wild type	RNA-Seq	76	PRJNA261051	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-15	Mus musculus	ILLUMINA	2014-10-03	SRP047132	Splenic B cells	Ex-vivo
SAMN03068655	SRX700930	2842	1902	SRR1575145	SRS701046	GSM1504367	Wild type	Splenic B cells, Wild type	RNA-Seq	76	PRJNA261051	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-15	Mus musculus	ILLUMINA	2014-10-03	SRP047132	Splenic B cells	Ex-vivo
SAMN03068656	SRX700931	2911	1982	SRR1575146	SRS701047	GSM1504368	PU.1[155-/155-]	Splenic B cells, PU.1 KI	RNA-Seq	76	PRJNA261051	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-15	Mus musculus	ILLUMINA	2014-10-03	SRP047132	Splenic B cells	Ex-vivo
SAMN03068657	SRX700932	2332	1597	SRR1575147	SRS701048	GSM1504369	PU.1[155-/155-]	Splenic B cells, PU.1_KI	RNA-Seq	76	PRJNA261051	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-15	Mus musculus	ILLUMINA	2014-10-03	SRP047132	Splenic B cells	Ex-vivo
SAMN03068658	SRX700933	2780	1889	SRR1575148	SRS701049	GSM1504370	PU.1[155-/155-]	Splenic B cells, PU.1_KI	RNA-Seq	76	PRJNA261051	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-15	Mus musculus	ILLUMINA	2014-10-03	SRP047132	Splenic B cells	Ex-vivo
SAMN03068659	SRX700934	3402	2273	SRR1575149	SRS701050	GSM1504371	PU.1[155-/155-]	Splenic B cells, PU.1_KI	RNA-Seq	76	PRJNA261051	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-15	Mus musculus	ILLUMINA	2014-10-03	SRP047132	Splenic B cells	Ex-vivo
SAMN03068660	SRX700935	2736	1838	SRR1575150	SRS701051	GSM1504372	PU.1[155-/155-]	Splenic B cells, PU.1_KI	RNA-Seq	76	PRJNA261051	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-15	Mus musculus	ILLUMINA	2014-10-03	SRP047132	Splenic B cells	Ex-vivo
SAMN03068661	SRX700936	4009	2730	SRR1575151	SRS701052	GSM1504373	miR-155[-/-]	Splenic B cells, miR-155 KO	RNA-Seq	76	PRJNA261051	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-15	Mus musculus	ILLUMINA	2014-10-03	SRP047132	Splenic B cells	Ex-vivo
SAMN03068662	SRX700937	3805	2577	SRR1575152	SRS701053	GSM1504374	miR-155[-/-]	Splenic B cells, miR-155 KO	RNA-Seq	76	PRJNA261051	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-15	Mus musculus	ILLUMINA	2014-10-03	SRP047132	Splenic B cells	Ex-vivo
SAMN03068663	SRX700938	3621	2448	SRR1575153	SRS701054	GSM1504375	miR-155[-/-]	Splenic B cells, miR-155 KO	RNA-Seq	76	PRJNA261051	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-15	Mus musculus	ILLUMINA	2014-10-03	SRP047132	Splenic B cells	Ex-vivo
SAMN03068664	SRX700939	2858	1910	SRR1575154	SRS701055	GSM1504376	miR-155[-/-]	Splenic B cells, miR-155 KO	RNA-Seq	76	PRJNA261051	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-15	Mus musculus	ILLUMINA	2014-10-03	SRP047132	Splenic B cells	Ex-vivo
SAMN03068665	SRX700940	3012	2016	SRR1575155	SRS701056	GSM1504377	miR-155[-/-]	Splenic B cells, miR-155 KO	RNA-Seq	76	PRJNA261051	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2014-09-15	Mus musculus	ILLUMINA	2014-10-03	SRP047132	Splenic B cells	Ex-vivo
