BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	cell_type_s	genotype_s	source_name_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	strain_s
SAMN03580990	SRX1016958	5373	3128	SRR2006920	SRS928186	GSM1674080	Natural Killer cells	Socs1 KI	Natural Killer cells	RNA-Seq	100	PRJNA282955	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-05-05	Mus musculus	ILLUMINA	2015-05-11	SRP057986	C57BL/6J
SAMN03580991	SRX1016959	5461	3202	SRR2006921	SRS928185	GSM1674081	Natural Killer cells	Socs1 KI	Natural Killer cells	RNA-Seq	100	PRJNA282955	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-05-05	Mus musculus	ILLUMINA	2015-05-11	SRP057986	C57BL/6J
SAMN03580992	SRX1016960	5568	3241	SRR2006922	SRS928184	GSM1674082	Natural Killer cells	Socs1 KI	Natural Killer cells	RNA-Seq	100	PRJNA282955	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-05-05	Mus musculus	ILLUMINA	2015-05-11	SRP057986	C57BL/6J
SAMN03580993	SRX1016961	5236	3049	SRR2006923	SRS928183	GSM1674083	Natural Killer cells	miR-155 KO	Natural Killer cells	RNA-Seq	100	PRJNA282955	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-05-05	Mus musculus	ILLUMINA	2015-05-11	SRP057986	C57BL/6J
SAMN03580994	SRX1016962	6492	3810	SRR2006924	SRS928182	GSM1674084	Natural Killer cells	miR-155 KO	Natural Killer cells	RNA-Seq	100	PRJNA282955	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-05-05	Mus musculus	ILLUMINA	2015-05-11	SRP057986	C57BL/6J
SAMN03580995	SRX1016963	4793	2809	SRR2006925	SRS928181	GSM1674085	Natural Killer cells	miR-155 KO	Natural Killer cells	RNA-Seq	100	PRJNA282955	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-05-05	Mus musculus	ILLUMINA	2015-05-11	SRP057986	C57BL/6J
SAMN03580978	SRX1016964	5440	3157	SRR2006926	SRS928180	GSM1674086	Natural Killer cells	wild type	Natural Killer cells	RNA-Seq	100	PRJNA282955	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-05-05	Mus musculus	ILLUMINA	2015-05-11	SRP057986	C57BL/6J
SAMN03580979	SRX1016965	5479	3207	SRR2006927	SRS928179	GSM1674087	Natural Killer cells	wild type	Natural Killer cells	RNA-Seq	100	PRJNA282955	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-05-05	Mus musculus	ILLUMINA	2015-05-11	SRP057986	C57BL/6J
SAMN03580980	SRX1016966	5540	3240	SRR2006928	SRS928178	GSM1674088	Natural Killer cells	wild type	Natural Killer cells	RNA-Seq	100	PRJNA282955	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-05-05	Mus musculus	ILLUMINA	2015-05-11	SRP057986	C57BL/6J
SAMN03580981	SRX1016967	5254	3037	SRR2006929	SRS928177	GSM1674089	OT1 specific CD8+ T cells	Socs1 KI	OT1 specific CD8+ T cells	RNA-Seq	100	PRJNA282955	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-05-05	Mus musculus	ILLUMINA	2015-05-11	SRP057986	C57BL/6J
SAMN03580982	SRX1016968	5225	3024	SRR2006930	SRS928165	GSM1674090	OT1 specific CD8+ T cells	Socs1 KI	OT1 specific CD8+ T cells	RNA-Seq	100	PRJNA282955	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-05-05	Mus musculus	ILLUMINA	2015-05-11	SRP057986	C57BL/6J
SAMN03580983	SRX1016969	5533	3236	SRR2006931	SRS928166	GSM1674091	OT1 specific CD8+ T cells	Socs1 KI	OT1 specific CD8+ T cells	RNA-Seq	100	PRJNA282955	GEO	public	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC	2015-05-05	Mus musculus	ILLUMINA	2015-05-11	SRP057986	C57BL/6J
